"","Latitude","Longitude","year"
"188",29.445046,-98.406501,2005
"189",29.47083,-100.99777,2005
"190",29.51509,-98.620166,2005
"191",29.520443,-95.392509,2005
"192",29.544722,-82.296111,2005
"193",29.546244,-94.786969,2005
"194",29.583047,-95.015544,2005
"195",29.587741,-98.312512,2005
"196",29.613287,-95.173544,2005
"197",29.615001,-95.018132,2005
"198",29.623889,-95.474167,2005
"199",29.625556,-95.267222,2005
"200",29.632058,-98.564936,2005
"201",29.658578,-82.408162,2005
"202",29.670025,-95.128508,2005
"203",29.672,-95.0647,2005
"204",29.679301,-90.779731,2005
"205",29.684,-82.491,2005
"206",29.68436,-95.253598,2005
"207",29.687748,-81.656509,2005
"208",29.695729,-95.499219,2005
"209",29.706111,-82.387778,2005
"210",29.706249,-95.26113,2005
"211",29.715485,-91.210103,2005
"212",29.716483,-95.20133,2005
"213",29.718799,-95.259909,2005
"214",29.723333,-95.635833,2005
"215",29.727931,-93.894081,2005
"216",29.733726,-95.257593,2005
"217",29.734231,-95.238469,2005
"218",29.735129,-95.315583,2005
"219",29.752778,-95.350278,2005
"220",29.758889,-95.079444,2005
"221",29.764098,-90.765275,2005
"222",29.764788,-95.178538,2005
"223",29.767997,-95.220582,2005
"224",29.770698,-95.031232,2005
"225",29.802707,-95.125495,2005
"226",29.807415,-95.293622,2005
"227",29.828086,-95.284096,2005
"228",29.834167,-95.489167,2005
"229",29.854288,-95.128711,2005
"230",29.863957,-94.317802,2005
"231",29.867756,-93.951163,2005
"232",29.88546,-89.94952,2005
"233",29.893849,-93.979262,2005
"234",29.897516,-93.991084,2005
"235",29.900314,-90.109836,2005
"236",29.901036,-95.326137,2005
"237",29.9198,-90.231783,2005
"238",29.922894,-93.909018,2005
"239",29.933261,-90.359524,2005
"240",29.939614,-89.923883,2005
"241",29.941038,-90.353136,2005
"242",29.9425,-94.000556,2005
"243",29.942798,-94.00077,2005
"244",29.947554,-95.542821,2005
"245",29.954093,-90.077016,2005
"246",29.955704,-90.121733,2005
"247",29.957149,-90.063346,2005
"248",29.960593,-90.128173,2005
"249",29.961124,-93.895928,2005
"250",29.962475,-96.745875,2005
"251",29.96249,-90.05689,2005
"252",29.971443,-89.998605,2005
"253",29.982147,-89.998681,2005
"254",29.982531,-93.952866,2005
"255",29.984371,-90.410638,2005
"256",29.993519,-90.10155,2005
"257",29.99497,-90.817415,2005
"258",29.999264,-90.211619,2005
"259",30.016905,-89.927185,2005
"260",30.020892,-90.123099,2005
"261",30.032329,-90.045465,2005
"262",30.036422,-94.071061,2005
"263",30.039524,-95.673951,2005
"264",30.041238,-90.272826,2005
"265",30.057515,-90.619286,2005
"266",30.05846,-95.189751,2005
"267",30.0655,-89.804767,2005
"268",30.06607,-94.077383,2005
"269",30.085263,-93.761341,2005
"270",30.0925,-84.161111,2005
"271",30.130433,-85.731517,2005
"272",30.135797,-81.633981,2005
"273",30.140265,-93.368448,2005
"274",30.144369,-85.614371,2005
"275",30.16635,-89.737333,2005
"276",30.17735,-93.214668,2005
"277",30.178056,-82.619167,2005
"278",30.194167,-93.866944,2005
"279",30.201111,-82.441111,2005
"280",30.204051,-91.117384,2005
"281",30.214616,-98.083347,2005
"282",30.217701,-92.051511,2005
"283",30.219101,-91.062552,2005
"284",30.221255,-91.315418,2005
"285",30.22611,-92.042908,2005
"286",30.227798,-93.579965,2005
"287",30.229653,-90.965628,2005
"288",30.230363,-89.567498,2005
"289",30.2322,-97.7444,2005
"290",30.245833,-89.77685,2005
"291",30.260278,-81.453611,2005
"292",30.262604,-93.285084,2005
"293",30.2632,-97.7131,2005
"294",30.263208,-97.712883,2005
"295",30.26588,-89.76997,2005
"296",30.26892,-89.44933,2005
"297",30.275033,-92.01732,2005
"298",30.300833,-89.395916,2005
"299",30.30523,-81.705398,2005
"300",30.305556,-84.423611,2005
"301",30.309119,-81.652341,2005
"302",30.31445,-89.81415,2005
"303",30.315406,-90.811383,2005
"304",30.31725,-81.68395,2005
"305",30.320507,-81.68762,2005
"306",30.329118,-81.639562,2005
"307",30.33501,-81.61861,2005
"308",30.350302,-95.425128,2005
"309",30.352375,-81.61841,2005
"310",30.35245,-81.628173,2005
"311",30.35319,-81.56725,2005
"312",30.3544,-97.7602,2005
"313",30.354436,-97.760255,2005
"314",30.354722,-81.547778,2005
"315",30.356339,-81.635396,2005
"316",30.3658,-103.6491,2005
"317",30.367461,-81.593983,2005
"318",30.36805,-87.270967,2005
"319",30.373678,-89.15513,2005
"320",30.378287,-88.53393,2005
"321",30.38,-89.448333,2005
"322",30.390369,-89.049778,2005
"323",30.3926,-97.7285,2005
"324",30.393193,-89.580378,2005
"325",30.394133,-87.008033,2005
"326",30.399198,-87.275972,2005
"327",30.400194,-91.42511,2005
"328",30.40966,-89.44114,2005
"329",30.41707,-81.585858,2005
"330",30.4186,-97.6014,2005
"331",30.419805,-91.182016,2005
"332",30.422448,-81.620951,2005
"333",30.42659,-82.794715,2005
"334",30.437,-87.256,2005
"335",30.439722,-84.346389,2005
"336",30.449005,-89.052683,2005
"337",30.461981,-91.179219,2005
"338",30.470916,-88.9827,2005
"339",30.47415,-88.14102,2005
"340",30.4747,-88.1411,2005
"341",30.477725,-81.587339,2005
"342",30.483168,-97.872301,2005
"343",30.484444,-84.199444,2005
"344",30.492144,-93.144045,2005
"345",30.497478,-87.880258,2005
"346",30.500642,-91.213556,2005
"347",30.503287,-90.377212,2005
"348",30.522778,-88.708611,2005
"349",30.525367,-87.20355,2005
"350",30.5295,-89.691056,2005
"351",30.5326,-97.6849,2005
"352",30.544917,-87.216082,2005
"353",30.55,-87.376,2005
"354",30.566944,-89.180556,2005
"355",30.593978,-91.251943,2005
"356",30.658497,-88.036665,2005
"357",30.658552,-81.463168,2005
"358",30.669362,-104.024657,2005
"359",30.681718,-91.366247,2005
"360",30.700895,-91.056068,2005
"361",30.720515,-88.058951,2005
"362",30.740718,-82.128154,2005
"363",30.76652,-88.075727,2005
"364",30.770181,-88.087761,2005
"365",30.8486,-83.2933,2005
"366",30.848611,-85.603889,2005
"367",31.106567,-87.071081,2005
"368",31.169805,-81.495035,2005
"369",31.177824,-92.410746,2005
"370",31.180893,-81.504622,2005
"371",31.185187,-81.485166,2005
"372",31.188933,-85.423094,2005
"373",31.224783,-85.390789,2005
"374",31.255833,-88.022967,2005
"375",31.323639,-89.287167,2005
"376",31.325833,-110.945278,2005
"377",31.3283,-109.5472,2005
"378",31.337204,-110.936718,2005
"379",31.3492,-109.539683,2005
"380",31.3658,-109.73095,2005
"381",31.502477,-92.460439,2005
"382",31.513097,-82.749971,2005
"383",31.560752,-91.390405,2005
"384",31.574402,-91.455353,2005
"385",31.5776,-84.0998,2005
"386",31.638056,-106.443056,2005
"387",31.664302,-85.606175,2005
"388",31.6675,-106.288,2005
"389",31.67301,-106.28425,2005
"390",31.6869,-106.3228,2005
"391",31.688638,-89.135115,2005
"392",31.689722,-106.4597,2005
"393",31.703846,-106.356022,2005
"394",31.7122,-106.3953,2005
"395",31.731389,-106.428889,2005
"396",31.7338,-106.3721,2005
"397",31.73561,-106.460242,2005
"398",31.746775,-106.402806,2005
"399",31.757654,-106.482922,2005
"400",31.758532,-106.501045,2005
"401",31.765685,-106.455227,2005
"402",31.768291,-106.50126,2005
"403",31.775942,-106.413177,2005
"404",31.776944,-106.501667,2005
"405",31.785769,-106.323578,2005
"406",31.787885,-106.683324,2005
"407",31.79056,-85.97917,2005
"408",31.792969,-85.980522,2005
"409",31.79594,-106.558044,2005
"410",31.796218,-106.584434,2005
"411",31.801944,-106.420556,2005
"412",31.813889,-106.463056,2005
"413",31.83345,-104.810224,2005
"414",31.836575,-102.342037,2005
"415",31.870253,-102.334756,2005
"416",31.87952,-110.99644,2005
"417",31.893913,-106.425827,2005
"418",31.930659,-106.631103,2005
"419",31.95,-112.801,2005
"420",31.954286,-84.08101,2005
"421",32.003712,-106.599715,2005
"422",32.004707,-110.792593,2005
"423",32.00941,-109.38906,2005
"424",32.041212,-106.40971,2005
"425",32.0475,-110.773889,2005
"426",32.04767,-110.774357,2005
"427",32.057581,-92.435157,2005
"428",32.062124,-81.067043,2005
"429",32.06848,-81.04942,2005
"430",32.090779,-81.130222,2005
"431",32.092957,-81.14399,2005
"432",32.110679,-81.161823,2005
"433",32.125919,-110.982556,2005
"434",32.172995,-110.980134,2005
"435",32.174538,-110.737116,2005
"436",32.1912,-110.840582,2005
"437",32.201978,-110.967905,2005
"438",32.204411,-110.878067,2005
"439",32.20739,-110.910619,2005
"440",32.222058,-110.974681,2005
"441",32.222103,-110.893842,2005
"442",32.248712,-111.218494,2005
"443",32.251843,-110.965293,2005
"444",32.267309,-107.755863,2005
"445",32.27229,-110.989079,2005
"446",32.275528,-90.132528,2005
"447",32.27815,-106.865006,2005
"448",32.281483,-106.767781,2005
"449",32.29515,-110.9823,2005
"450",32.296952,-90.188394,2005
"451",32.317593,-106.768337,2005
"452",32.32,-89.666667,2005
"453",32.322037,-106.768337,2005
"454",32.322661,-111.038389,2005
"455",32.32298,-90.887216,2005
"456",32.343396,-117.05558,2005
"457",32.344008,-95.415752,2005
"458",32.353595,-97.436742,2005
"459",32.36401,-88.201865,2005
"460",32.364565,-88.731491,2005
"461",32.378682,-94.711811,2005
"462",32.380118,-104.262726,2005
"463",32.38082,-111.12716,2005
"464",32.382036,-112.857453,2005
"465",32.385731,-90.1412,2005
"466",32.412811,-86.263394,2005
"467",32.414344,-111.154544,2005
"468",32.424813,-106.674724,2005
"469",32.425261,-111.06352,2005
"470",32.42597,-86.285247,2005
"471",32.4297,-84.9316,2005
"472",32.434882,-80.677853,2005
"473",32.436944,-97.025,2005
"474",32.442304,-97.803529,2005
"475",32.46735,-85.083447,2005
"476",32.472136,-85.005028,2005
"477",32.473611,-97.0425,2005
"478",32.478486,-93.766012,2005
"479",32.482083,-97.026899,2005
"480",32.4842,-84.9789,2005
"481",32.498392,-116.977523,2005
"482",32.498567,-86.136587,2005
"483",32.500058,-117.117529,2005
"484",32.503272,-84.942035,2005
"485",32.503747,-87.834735,2005
"486",32.508306,-111.308056,2005
"487",32.509959,-92.046196,2005
"488",32.518947,-117.012801,2005
"489",32.521272,-84.944635,2005
"490",32.525058,-116.985856,2005
"491",32.525891,-117.038358,2005
"492",32.536273,-93.74894,2005
"493",32.539571,-84.844732,2005
"494",32.552164,-116.937772,2005
"495",32.564968,-96.317687,2005
"496",32.570338,-115.449436,2005
"497",32.57089,-115.351652,2005
"498",32.575061,-116.619184,2005
"499",32.579361,-116.929486,2005
"500",32.582562,-115.578887,2005
"501",32.598611,-110.633611,2005
"502",32.6056,-83.5978,2005
"503",32.615335,-115.388877,2005
"504",32.629225,-115.447769,2005
"505",32.631231,-117.059075,2005
"506",32.633671,-115.504995,2005
"507",32.656357,-97.088585,2005
"508",32.668987,-94.167457,2005
"509",32.673948,-115.503884,2005
"510",32.676186,-115.484144,2005
"511",32.676451,-96.87206,2005
"512",32.677001,-114.648905,2005
"513",32.677833,-115.390544,2005
"514",32.677855,-114.475861,2005
"515",32.68336,-93.861582,2005
"516",32.692022,-108.125042,2005
"517",32.693056,-97.248611,2005
"518",32.697022,-108.128654,2005
"519",32.701492,-117.149653,2005
"520",32.709224,-117.154841,2005
"521",32.7106,-96.8033,2005
"522",32.717265,-117.166353,2005
"523",32.719307,-110.641934,2005
"524",32.724832,-103.129097,2005
"525",32.725226,-116.365203,2005
"526",32.726656,-103.122917,2005
"527",32.735455,-116.345365,2005
"528",32.7392,-97.47033,2005
"529",32.744981,-96.781883,2005
"530",32.7559,-111.5551,2005
"531",32.759143,-97.342334,2005
"532",32.769379,-96.546299,2005
"533",32.774262,-96.797686,2005
"534",32.777465,-83.640996,2005
"535",32.778889,-96.873056,2005
"536",32.784519,-108.272271,2005
"537",32.790984,-79.958694,2005
"538",32.791194,-116.942092,2005
"539",32.79222,-115.56306,2005
"540",32.795894,-79.946917,2005
"541",32.805264,-83.543493,2005
"542",32.805818,-97.356568,2005
"543",32.810833,-97.336944,2005
"544",32.820061,-96.860117,2005
"545",32.827967,-83.788749,2005
"546",32.83388,-109.718611,2005
"547",32.836461,-117.128752,2005
"548",32.842242,-116.768225,2005
"549",32.844606,-79.948036,2005
"550",32.855668,-104.411908,2005
"551",32.868773,-97.905931,2005
"552",32.877583,-111.752222,2005
"553",32.881194,-111.962,2005
"554",32.881829,-83.333775,2005
"555",32.882289,-79.977538,2005
"556",32.891056,-111.5705,2005
"557",32.916792,-96.768889,2005
"558",32.919206,-96.808498,2005
"559",32.922474,-97.282088,2005
"560",32.936523,-96.459211,2005
"561",32.941023,-79.657187,2005
"562",32.952124,-117.264088,2005
"563",32.954361,-111.76225,2005
"564",32.967359,-82.806871,2005
"565",32.97833,-115.53917,2005
"566",32.978556,-111.514833,2005
"567",32.980254,-80.06501,2005
"568",32.98426,-97.063721,2005
"569",32.987252,-79.9367,2005
"570",32.987891,-97.477175,2005
"571",33.006179,-110.785797,2005
"572",33.007866,-80.965038,2005
"573",33.0325,-115.62361,2005
"574",33.0585,-112.047219,2005
"575",33.080087,-111.739999,2005
"576",33.089772,-87.459733,2005
"577",33.105806,-110.974194,2005
"578",33.117556,-111.885814,2005
"579",33.127711,-117.075325,2005
"580",33.1324,-96.786419,2005
"581",33.136862,-91.950377,2005
"582",33.142336,-96.824683,2005
"583",33.144662,-96.828809,2005
"584",33.147414,-96.825769,2005
"585",33.153088,-96.115572,2005
"586",33.153413,-83.23569,2005
"587",33.189931,-87.484189,2005
"588",33.213611,-115.54528,2005
"589",33.217025,-117.396158,2005
"590",33.219069,-97.196284,2005
"591",33.219111,-111.561111,2005
"592",33.220274,-92.669619,2005
