"CBSA Code","Metropolitan Division Code","CSA Code","CBSA_Title","MMSA","Metropolitan Division Title","CSA Title","Counties","State Name","FIPS State Code","FIPS County Code","Central/Outlying County","county"
"39","10760",NA,"388","Alexander City, AL","Micropolitan Statistical Area",NA,"Montgomery-Selma-Alexander City, AL","Tallapoosa","Alabama","01","123","Central","tallapoosa,alabama"
"40","10780",NA,NA,"Alexandria, LA","Metropolitan Statistical Area",NA,NA,"Grant Parish","Louisiana","22","043","Outlying","grant parish,louisiana"
"41","10780",NA,NA,"Alexandria, LA","Metropolitan Statistical Area",NA,NA,"Rapides Parish","Louisiana","22","079","Central","rapides parish,louisiana"
"42","10820",NA,NA,"Alexandria, MN","Micropolitan Statistical Area",NA,NA,"Douglas","Minnesota","27","041","Central","douglas,minnesota"
"43","10860",NA,"204","Alice, TX","Micropolitan Statistical Area",NA,"Corpus Christi-Kingsville-Alice, TX","Duval","Texas","48","131","Outlying","duval,texas"
"44","10860",NA,"204","Alice, TX","Micropolitan Statistical Area",NA,"Corpus Christi-Kingsville-Alice, TX","Jim Wells","Texas","48","249","Central","jim wells,texas"
"45","10900",NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",NA,NA,"Warren","New Jersey","34","041","Central","warren,new jersey"
"46","10900",NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",NA,NA,"Carbon","Pennsylvania","42","025","Central","carbon,pennsylvania"
"47","10900",NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",NA,NA,"Lehigh","Pennsylvania","42","077","Central","lehigh,pennsylvania"
"48","10900",NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",NA,NA,"Northampton","Pennsylvania","42","095","Central","northampton,pennsylvania"
"49","10940",NA,"394","Alma, MI","Micropolitan Statistical Area",NA,"Mount Pleasant-Alma, MI","Gratiot","Michigan","26","057","Central","gratiot,michigan"
"50","10980",NA,NA,"Alpena, MI","Micropolitan Statistical Area",NA,NA,"Alpena","Michigan","26","007","Central","alpena,michigan"
"51","11020",NA,"107","Altoona, PA","Metropolitan Statistical Area",NA,"Altoona-Huntingdon, PA","Blair","Pennsylvania","42","013","Central","blair,pennsylvania"
"52","11060",NA,NA,"Altus, OK","Micropolitan Statistical Area",NA,NA,"Jackson","Oklahoma","40","065","Central","jackson,oklahoma"
"53","11100",NA,"108","Amarillo, TX","Metropolitan Statistical Area",NA,"Amarillo-Pampa-Borger, TX","Armstrong","Texas","48","011","Outlying","armstrong,texas"
"54","11100",NA,"108","Amarillo, TX","Metropolitan Statistical Area",NA,"Amarillo-Pampa-Borger, TX","Carson","Texas","48","065","Outlying","carson,texas"
"55","11100",NA,"108","Amarillo, TX","Metropolitan Statistical Area",NA,"Amarillo-Pampa-Borger, TX","Oldham","Texas","48","359","Outlying","oldham,texas"
"56","11100",NA,"108","Amarillo, TX","Metropolitan Statistical Area",NA,"Amarillo-Pampa-Borger, TX","Potter","Texas","48","375","Central","potter,texas"
"57","11100",NA,"108","Amarillo, TX","Metropolitan Statistical Area",NA,"Amarillo-Pampa-Borger, TX","Randall","Texas","48","381","Central","randall,texas"
"58","11140",NA,NA,"Americus, GA","Micropolitan Statistical Area",NA,NA,"Schley","Georgia","13","249","Outlying","schley,georgia"
"59","11140",NA,NA,"Americus, GA","Micropolitan Statistical Area",NA,NA,"Sumter","Georgia","13","261","Central","sumter,georgia"
"60","11180",NA,"218","Ames, IA","Metropolitan Statistical Area",NA,"Des Moines-Ames-West Des Moines, IA","Boone","Iowa","19","015","Outlying","boone,iowa"
"61","11180",NA,"218","Ames, IA","Metropolitan Statistical Area",NA,"Des Moines-Ames-West Des Moines, IA","Story","Iowa","19","169","Central","story,iowa"
"62","11220",NA,"104","Amsterdam, NY","Micropolitan Statistical Area",NA,"Albany-Schenectady, NY","Montgomery","New York","36","057","Central","montgomery,new york"
"63","11260",NA,NA,"Anchorage, AK","Metropolitan Statistical Area",NA,NA,"Anchorage Municipality","Alaska","02","020","Central","anchorage municipality,alaska"
"64","11260",NA,NA,"Anchorage, AK","Metropolitan Statistical Area",NA,NA,"Matanuska-Susitna Borough","Alaska","02","170","Outlying","matanuska-susitna borough,alaska"
"65","11380",NA,NA,"Andrews, TX","Micropolitan Statistical Area",NA,NA,"Andrews","Texas","48","003","Central","andrews,texas"
"66","11420",NA,"258","Angola, IN","Micropolitan Statistical Area",NA,"Fort Wayne-Huntington-Auburn, IN","Steuben","Indiana","18","151","Central","steuben,indiana"
